DREN,Statut,Genre,Effectif
ABENGOUROU,Public,Filles,26676
ABIDJAN‐1,Public,Filles,93911
BONDOUKOU,Public,Filles,53068
BOUAKE,Public,Filles,43922
DALOA,Public,Filles,66615
KORHOGO,Public,Filles,32701
MAN,Public,Filles,53829
ODIENNE,Public,Filles,12621
SAN‐PEDRO,Public,Filles,74645
YAMOUSSOUKRO,Public,Filles,45615
AGBOVILLE,Public,Filles,22277
DIVO,Public,Filles,48429
KATIOLA,Public,Filles,14293
GAGNOA,Public,Filles,55391
BOUNDIALI,Public,Filles,8826
GUIGLO,Public,Filles,26990
SEGUELA,Public,Filles,12027
DIMBOKRO,Public,Filles,54617
ABIDJAN‐2,Public,Filles,68906
ABOISSO,Public,Filles,34753
DABOU,Public,Filles,37780
BOUAFLE,Public,Filles,29989
ADZOPE,Public,Filles,24411
ABENGOUROU,Public,Garçons,32124
ABIDJAN‐1,Public,Garçons,95823
BONDOUKOU,Public,Garçons,63506
BOUAKE,Public,Garçons,54854
DALOA,Public,Garçons,94849
KORHOGO,Public,Garçons,41796
MAN,Public,Garçons,81174
ODIENNE,Public,Garçons,20854
SAN‐PEDRO,Public,Garçons,98810
YAMOUSSOUKRO,Public,Garçons,53669
AGBOVILLE,Public,Garçons,26413
DIVO,Public,Garçons,65525
KATIOLA,Public,Garçons,19627
GAGNOA,Public,Garçons,72931
BOUNDIALI,Public,Garçons,11549
GUIGLO,Public,Garçons,38696
SEGUELA,Public,Garçons,20701
DIMBOKRO,Public,Garçons,67515
ABIDJAN‐2,Public,Garçons,69210
ABOISSO,Public,Garçons,40011
DABOU,Public,Garçons,45353
BOUAFLE,Public,Garçons,42983
ADZOPE,Public,Garçons,28653
ABENGOUROU,Privé,Filles,3118
ABIDJAN‐1,Privé,Filles,45616
BONDOUKOU,Privé,Filles,1446
BOUAKE,Privé,Filles,3735
DALOA,Privé,Filles,2587
KORHOGO,Privé,Filles,2155
MAN,Privé,Filles,2749
ODIENNE,Privé,Filles,103
SAN‐PEDRO,Privé,Filles,5436
YAMOUSSOUKRO,Privé,Filles,1932
AGBOVILLE,Privé,Filles,382
DIVO,Privé,Filles,1636
KATIOLA,Privé,Filles,533
GAGNOA,Privé,Filles,3698
BOUNDIALI,Privé,Filles,386
GUIGLO,Privé,Filles,928
SEGUELA,Privé,Filles,244
DIMBOKRO,Privé,Filles,3851
ABIDJAN‐2,Privé,Filles,32668
ABOISSO,Privé,Filles,2223
DABOU,Privé,Filles,2857
BOUAFLE,Privé,Filles,1769
ADZOPE,Privé,Filles,1159
ABENGOUROU,Privé,Garçons,3655
ABIDJAN‐1,Privé,Garçons,46775
BONDOUKOU,Privé,Garçons,1548
BOUAKE,Privé,Garçons,4015
DALOA,Privé,Garçons,3212
KORHOGO,Privé,Garçons,2512
MAN,Privé,Garçons,3521
ODIENNE,Privé,Garçons,117
SAN‐PEDRO,Privé,Garçons,6449
YAMOUSSOUKRO,Privé,Garçons,1787
AGBOVILLE,Privé,Garçons,468
DIVO,Privé,Garçons,1906
KATIOLA,Privé,Garçons,359
GAGNOA,Privé,Garçons,4479
BOUNDIALI,Privé,Garçons,495
GUIGLO,Privé,Garçons,1220
SEGUELA,Privé,Garçons,301
DIMBOKRO,Privé,Garçons,4406
ABIDJAN‐2,Privé,Garçons,33394
ABOISSO,Privé,Garçons,1850
DABOU,Privé,Garçons,3002
BOUAFLE,Privé,Garçons,1986
ADZOPE,Privé,Garçons,1239
ABENGOUROU,Islamique,Filles,0
ABIDJAN‐1,Islamique,Filles,0
BONDOUKOU,Islamique,Filles,194
BOUAKE,Islamique,Filles,0
DALOA,Islamique,Filles,0
KORHOGO,Islamique,Filles,0
MAN,Islamique,Filles,0
ODIENNE,Islamique,Filles,0
SAN‐PEDRO,Islamique,Filles,0
YAMOUSSOUKRO,Islamique,Filles,35
AGBOVILLE,Islamique,Filles,0
DIVO,Islamique,Filles,0
KATIOLA,Islamique,Filles,0
GAGNOA,Islamique,Filles,201
BOUNDIALI,Islamique,Filles,0
GUIGLO,Islamique,Filles,0
SEGUELA,Islamique,Filles,0
DIMBOKRO,Islamique,Filles,0
ABIDJAN‐2,Islamique,Filles,59
ABOISSO,Islamique,Filles,0
DABOU,Islamique,Filles,0
BOUAFLE,Islamique,Filles,62
ADZOPE,Islamique,Filles
ABENGOUROU,Islamique,Garçons,0
ABIDJAN‐1,Islamique,Garçons,0
BONDOUKOU,Islamique,Garçons,324
BOUAKE,Islamique,Garçons,0
DALOA,Islamique,Garçons,0
KORHOGO,Islamique,Garçons,0
MAN,Islamique,Garçons,0
ODIENNE,Islamique,Garçons,0
SAN‐PEDRO,Islamique,Garçons,0
YAMOUSSOUKRO,Islamique,Garçons,58
AGBOVILLE,Islamique,Garçons,0
DIVO,Islamique,Garçons,0
KATIOLA,Islamique,Garçons,0
GAGNOA,Islamique,Garçons,208
BOUNDIALI,Islamique,Garçons,0
GUIGLO,Islamique,Garçons,0
SEGUELA,Islamique,Garçons,0
DIMBOKRO,Islamique,Garçons,0
ABIDJAN‐2,Islamique,Garçons,145
ABOISSO,Islamique,Garçons,0
DABOU,Islamique,Garçons,0
BOUAFLE,Islamique,Garçons,116
ADZOPE,Islamique,Garçons,0
ABENGOUROU,Communautaire,Filles,0
ABIDJAN‐1,Communautaire,Filles,0
BONDOUKOU,Communautaire,Filles,0
BOUAKE,Communautaire,Filles,106
DALOA,Communautaire,Filles,84
KORHOGO,Communautaire,Filles,0
MAN,Communautaire,Filles,0
ODIENNE,Communautaire,Filles,58
SAN‐PEDRO,Communautaire,Filles,667
YAMOUSSOUKRO,Communautaire,Filles,96
AGBOVILLE,Communautaire,Filles,0
DIVO,Communautaire,Filles,0
KATIOLA,Communautaire,Filles,0
GAGNOA,Communautaire,Filles,0
BOUNDIALI,Communautaire,Filles,0
GUIGLO,Communautaire,Filles,0
SEGUELA,Communautaire,Filles,0
DIMBOKRO,Communautaire,Filles,77
ABIDJAN‐2,Communautaire,Filles
ABOISSO,Communautaire,Filles,229
DABOU,Communautaire,Filles,0
BOUAFLE,Communautaire,Filles,0
ADZOPE,Communautaire,Filles,0
ABENGOUROU,Communautaire,Garçons,0
ABIDJAN‐1,Communautaire,Garçons,0
BONDOUKOU,Communautaire,Garçons,0
BOUAKE,Communautaire,Garçons,147
DALOA,Communautaire,Garçons,126
KORHOGO,Communautaire,Garçons,0
MAN,Communautaire,Garçons,0
ODIENNE,Communautaire,Garçons,71
SAN‐PEDRO,Communautaire,Garçons,970
YAMOUSSOUKRO,Communautaire,Garçons,105
AGBOVILLE,Communautaire,Garçons,0
DIVO,Communautaire,Garçons,0
KATIOLA,Communautaire,Garçons,0
GAGNOA,Communautaire,Garçons,0
BOUNDIALI,Communautaire,Garçons,0
GUIGLO,Communautaire,Garçons,0
SEGUELA,Communautaire,Garçons,0
DIMBOKRO,Communautaire,Garçons,122
ABIDJAN‐2,Communautaire,Garçons,0
ABOISSO,Communautaire,Garçons,274
DABOU,Communautaire,Garçons,0
BOUAFLE,Communautaire,Garçons,0
ADZOPE,Communautaire,Garçons,0
